main,base,price
THETA,USDT,0.50713000
ENJ,USDT,0.22754000
MITH,USDT,0.01024000
MATIC,BNB,0.00120420
MATIC,BTC,0.00000236
MATIC,USDT,0.02696000
ATOM,BNB,0.34880000
ATOM,BTC,0.00068180
ATOM,USDT,7.82000000
ATOM,USDC,7.76800000
ATOM,PAX,0.00000000
ATOM,TUSD,0.00000000
ETC,USDC,0.00000000
ETC,PAX,0.00000000
ETC,TUSD,0.00000000
BAT,USDC,0.35480000
BAT,PAX,0.00000000
BAT,TUSD,0.00000000
PHB,BNB,0.00000000
PHB,BTC,0.00000038
PHB,USDC,0.00000000
PHB,TUSD,0.00430000
PHB,PAX,0.00000000
TFUEL,BNB,0.00000000
TFUEL,BTC,0.00000103
TFUEL,USDT,0.01169800
TFUEL,USDC,0.00000000
TFUEL,TUSD,0.00000000
TFUEL,PAX,0.00000000
ONE,BNB,0.00047930
ONE,BTC,0.00000094
ONE,USDT,0.01078000
ONE,TUSD,0.00000000
ONE,PAX,0.00000000
ONE,USDC,0.01079000
FTM,BNB,0.00132700
FTM,BTC,0.00000258
FTM,USDT,0.02973000
FTM,TUSD,0.00000000
FTM,PAX,0.00000000
FTM,USDC,0.00000000
BTCB,BTC,0.00000000
BCPT,TUSD,0.00000000
BCPT,PAX,0.00000000
BCPT,USDC,0.00000000
ALGO,BNB,0.02490000
ALGO,BTC,0.00004868
ALGO,USDT,0.55840000
ALGO,TUSD,0.55820000
ALGO,PAX,0.00000000
ALGO,USDC,0.00000000
USDSB,USDT,0.00000000
USDSB,USDS,0.00000000
GTO,USDT,0.00997000
GTO,PAX,0.00000000
GTO,TUSD,0.00000000
GTO,USDC,0.00000000
ERD,BNB,0.00080198
ERD,BTC,0.00000157
ERD,USDT,0.01796200
ERD,PAX,0.00000000
ERD,USDC,0.00000000
DOGE,BNB,0.00000000
DOGE,BTC,0.00000029
DOGE,USDT,0.00329500
DOGE,PAX,0.00000000
DOGE,USDC,0.00000000
DUSK,BNB,0.00000000
DUSK,BTC,0.00000790
DUSK,USDT,0.09120000
DUSK,USDC,0.00000000
DUSK,PAX,0.00000000
BGBP,USDC,1.32510000
ANKR,BNB,0.00055260
ANKR,BTC,0.00000108
ANKR,USDT,0.01235900
ANKR,TUSD,0.00000000
ANKR,PAX,0.00000000
ANKR,USDC,0.00000000
ONT,PAX,0.00000000
ONT,USDC,0.00000000
WIN,BNB,0.00000477
WIN,BTC,0.00000000
WIN,USDT,0.00010700
WIN,USDC,0.00010700
COS,BNB,0.00041200
COS,BTC,0.00000081
COS,USDT,0.00921000
TUSDB,TUSD,0.00000000
NPXS,USDT,0.00019860
NPXS,USDC,0.00000000
COCOS,BNB,0.00002130
COCOS,BTC,0.00000000
COCOS,USDT,0.00047600
MTL,USDT,0.38180000
TOMO,BNB,0.04665000
TOMO,BTC,0.00009036
TOMO,USDT,1.03900000
TOMO,USDC,0.00000000
PERL,BNB,0.00249600
PERL,BTC,0.00000486
PERL,USDC,0.00000000
PERL,USDT,0.05554000
DENT,USDT,0.00030920
MFT,USDT,0.00358800
KEY,USDT,0.00670000
STORM,USDT,0.00000000
DOCK,USDT,0.02997500
WAN,USDT,0.40170000
FUN,USDT,0.00487300
CVC,USDT,0.04154000
BTT,TRX,0.01756000
WIN,TRX,0.00452000
CHZ,BNB,0.00070920
CHZ,BTC,0.00000138
CHZ,USDT,0.01588000
BAND,BNB,0.59175000
BAND,BTC,0.00115400
BAND,USDT,13.23060000
BNB,BUSD,22.40470000
BTC,BUSD,11479.35000000
BUSD,USDT,0.99930000
BEAM,BNB,0.00000000
BEAM,BTC,0.00004320
BEAM,USDT,0.49650000
XTZ,BNB,0.15296000
XTZ,BTC,0.00029820
XTZ,USDT,3.41800000
REN,USDT,0.45558000
RVN,USDT,0.02265000
HC,USDT,1.66660000
HBAR,BNB,0.00207300
HBAR,BTC,0.00000404
HBAR,USDT,0.04641000
NKN,BNB,0.00135200
NKN,BTC,0.00000265
NKN,USDT,0.03019000
XRP,BUSD,0.27779000
ETH,BUSD,387.64000000
BCHABC,BUSD,0.00000000
LTC,BUSD,58.57000000
LINK,BUSD,15.29000000
ETC,BUSD,6.49670000
STX,BNB,0.01103000
STX,BTC,0.00002148
STX,USDT,0.24730000
KAVA,BNB,0.18652000
KAVA,BTC,0.00036354
KAVA,USDT,4.17160000
BUSD,NGN,475.86000000
BNB,NGN,10622.00000000
BTC,NGN,5460217.00000000
ARPA,BNB,0.00168800
ARPA,BTC,0.00000328
ARPA,USDT,0.03765000
TRX,BUSD,0.02370000
EOS,BUSD,3.13120000
IOTX,USDT,0.00830800
RLC,USDT,1.61000000
MCO,USDT,5.61700000
XLM,BUSD,0.09873000
ADA,BUSD,0.11706000
CTXC,BNB,0.00000000
CTXC,BTC,0.00001299
CTXC,USDT,0.14960000
BCH,BNB,12.36700000
BCH,BTC,0.02408400
BCH,USDT,276.43000000
BCH,USDC,276.72000000
BCH,TUSD,276.63000000
BCH,PAX,276.14000000
BCH,BUSD,276.58000000
BTC,RUB,870090.00000000
ETH,RUB,29407.00000000
XRP,RUB,21.08500000
BNB,RUB,1695.61000000
TROY,BNB,0.00030350
TROY,BTC,0.00000060
TROY,USDT,0.00682280
BUSD,RUB,75.83400000
QTUM,BUSD,3.79100000
VET,BUSD,0.01719100
VITE,BNB,0.00000000
VITE,BTC,0.00000254
VITE,USDT,0.02916000
FTT,BNB,0.16240000
FTT,BTC,0.00031710
FTT,USDT,3.64200000
BTC,TRY,85707.00000000
BNB,TRY,167.63000000
BUSD,TRY,7.45000000
ETH,TRY,2889.97000000
XRP,TRY,2.07000000
USDT,TRY,7.47000000
USDT,RUB,75.88600000
BTC,EUR,9764.91000000
ETH,EUR,329.40000000
BNB,EUR,19.01540000
XRP,EUR,0.23558000
EUR,BUSD,1.17640000
EUR,USDT,1.17510000
OGN,BNB,0.01816000
OGN,BTC,0.00003542
OGN,USDT,0.40650000
DREP,BNB,0.00000000
DREP,BTC,0.00000028
DREP,USDT,0.00317700
BULL,USDT,0.00000000
BULL,BUSD,0.00000000
BEAR,USDT,0.00000000
BEAR,BUSD,0.00000000
ETHBULL,USDT,0.00000000
ETHBULL,BUSD,0.00000000
ETHBEAR,USDT,0.00000000
ETHBEAR,BUSD,0.00000000
TCT,BNB,0.00000000
TCT,BTC,0.00000090
TCT,USDT,0.01032000
WRX,BNB,0.00599400
WRX,BTC,0.00001173
WRX,USDT,0.13429000
ICX,BUSD,0.65820000
BTS,USDT,0.02831000
BTS,BUSD,0.02832000
LSK,USDT,1.79260000
BNT,USDT,1.78870000
BNT,BUSD,1.78170000
LTO,BNB,0.00000000
LTO,BTC,0.00000814
LTO,USDT,0.09392000
ATOM,BUSD,7.83700000
DASH,BUSD,86.85000000
NEO,BUSD,17.66400000
WAVES,BUSD,3.28230000
XTZ,BUSD,3.42700000
EOSBULL,USDT,0.00000000
EOSBULL,BUSD,0.00000000
EOSBEAR,USDT,0.00000000
EOSBEAR,BUSD,0.00000000
XRPBULL,USDT,0.00000000
XRPBULL,BUSD,0.00000000
XRPBEAR,USDT,0.00000000
XRPBEAR,BUSD,0.00000000
BAT,BUSD,0.35770000
ENJ,BUSD,0.22670000
NANO,BUSD,1.24370000
ONT,BUSD,0.90160000
RVN,BUSD,0.02268000
STRAT,BUSD,0.65820000
STRAT,BNB,0.00000000
STRAT,USDT,0.65580000
AION,BUSD,0.13570000
AION,USDT,0.13560000
MBL,BNB,0.00009240
MBL,BTC,0.00000019
MBL,USDT,0.00206700
COTI,BNB,0.00343100
COTI,BTC,0.00000669
COTI,USDT,0.07688000
ALGO,BUSD,0.55800000
BTT,BUSD,0.00041630
TOMO,BUSD,1.03880000
XMR,BUSD,88.92000000
ZEC,BUSD,74.57000000
BNBBULL,USDT,0.00000000
BNBBULL,BUSD,0.00000000
BNBBEAR,USDT,0.00000000
BNBBEAR,BUSD,0.00000000
STPT,BNB,0.00000000
STPT,BTC,0.00000272
STPT,USDT,0.03130000
BTC,ZAR,203327.00000000
ETH,ZAR,6892.40000000
BNB,ZAR,396.92000000
USDT,ZAR,17.77500000
BUSD,ZAR,17.76800000
BTC,BKRW,13563241.00000000
ETH,BKRW,457929.00000000
BNB,BKRW,26486.00000000
WTC,USDT,0.64430000
DATA,BUSD,0.05950000
DATA,USDT,0.05920000
XZC,USDT,6.29100000
SOL,BNB,0.16427000
SOL,BTC,0.00032015
SOL,USDT,3.66940000
SOL,BUSD,3.67940000
BTC,IDRT,168886489.00
BNB,IDRT,329744.00
USDT,IDRT,14765.00
BUSD,IDRT,14799.00
CTSI,BTC,0.00000735
CTSI,USDT,0.08446000
CTSI,BNB,0.00376100
CTSI,BUSD,0.08408000
HIVE,BNB,0.01045000
HIVE,BTC,0.00002045
HIVE,USDT,0.23580000
CHR,BNB,0.00274700
CHR,BTC,0.00000535
CHR,USDT,0.06132000
BTCUP,USDT,11.80000000
BTCDOWN,USDT,5.82400000
GXS,USDT,0.83400000
ARDR,USDT,0.08515000
ERD,BUSD,0.01795800
LEND,USDT,0.83154000
HBAR,BUSD,0.04648000
MATIC,BUSD,0.02697000
WRX,BUSD,0.13443000
ZIL,BUSD,0.02197000
MDT,BNB,0.00070650
MDT,BTC,0.00000139
MDT,USDT,0.01585000
STMX,BNB,0.00013490
STMX,BTC,0.00000027
STMX,ETH,0.00000776
STMX,USDT,0.00300900
KNC,BUSD,1.62600000
KNC,USDT,1.62300000
REP,BUSD,22.43700000
REP,USDT,22.39700000
LRC,BUSD,0.19706000
LRC,USDT,0.19782000
IQ,BNB,0.00009800
IQ,BUSD,0.00219400
PNT,BTC,0.00007828
PNT,USDT,0.90110000
BTC,GBP,8743.85000000
ETH,GBP,293.45000000
XRP,GBP,0.21181000
BNB,GBP,17.06900000
GBP,BUSD,1.31290000
DGB,BNB,0.00128000
DGB,BTC,0.00000250
